,basetext,1,13,18,22,33,35,69,69C,109,109C,118,124,138,157,168,173,209,213,226,249,265,295,333,357,377,382,397,430,543,544,565,579,597,732,788,792,799,807,821,826,828,841,869,884,892,983,992,994,1009,1010,1014,1029,1071,1079,1093,1128,1192,1210,1219,1230,1241,1242,1253,1278,1293,1319,1320,1321,1344,1424,1424C,1463,1546,1561,1571S,1582,1582C,1654,1689,1788,1797,1797C,2106,2192,2193,2193C,2223,226C,2372,2411,2575,2585,2615,2680,2713,2718,2766,2768,2786,2790,2886,2561
basetext,100,75,80,85,80,90,85,75,85,70,70,55,80,85,80,85,55,70,80,85,85,90,75,85,85,75,80,85,75,85,80,80,80,80,70,75,65,80,75,75,85,80,80,80,80,70,85,85,85,80,90,85,80,65,90,80,80,85,85,90,80,75,80,75,80,90,85,85,90,85,80,85,85,80,85,85,85,75,75,80,75,80,80,85,75,90,75,70,85,70,80,85,75,75,80,75,80,80,85,75,80,75,80
1,75,100,80,85,80,85,85,80,85,70,70,70,85,90,80,80,65,95,80,85,85,80,80,85,90,75,85,70,80,85,85,85,75,75,75,80,55,80,75,75,85,80,80,80,90,70,75,70,80,75,75,75,75,70,70,70,70,75,75,70,70,80,75,70,75,75,70,70,75,70,80,75,75,70,75,70,80,90,80,70,70,70,70,80,65,75,85,75,85,65,70,80,65,65,75,85,70,70,80,65,70,90,75
13,80,80,100,95,95,85,95,80,95,90,80,65,85,90,90,85,60,80,85,90,95,85,85,95,90,80,85,70,85,95,80,90,85,80,80,80,60,85,80,80,95,100,85,90,85,75,85,80,80,85,80,85,75,70,75,80,80,85,85,75,75,80,75,70,80,80,80,80,80,75,85,85,75,75,85,80,80,70,80,90,70,80,85,80,70,80,75,75,95,75,75,80,85,70,80,70,80,75,80,70,80,70,75
18,85,85,95,100,95,90,100,85,100,85,85,65,90,95,95,90,65,80,90,95,100,90,90,100,95,85,90,75,85,100,85,90,80,85,80,85,65,90,85,85,100,95,90,95,90,80,90,85,85,80,85,90,80,75,80,85,85,90,90,80,80,85,80,75,85,85,85,85,85,80,90,90,80,80,90,85,85,75,85,85,75,80,85,85,75,85,80,80,100,75,80,85,80,75,85,75,85,75,85,75,85,75,80
22,80,80,95,95,100,85,95,80,95,85,80,65,85,90,90,85,60,80,85,90,95,85,85,95,90,80,85,70,85,95,80,90,80,80,80,80,60,85,80,80,95,95,85,90,85,75,85,80,80,80,80,85,75,70,75,80,80,85,85,75,75,80,75,70,80,80,80,80,80,75,85,85,75,75,85,80,80,70,80,85,70,80,85,80,70,80,75,75,95,75,75,80,80,70,80,70,80,75,80,70,80,70,75
33,90,85,85,90,85,100,90,75,90,75,75,60,90,95,85,85,65,80,85,90,90,85,80,90,95,80,90,85,85,90,85,90,90,80,80,75,65,85,80,80,90,85,85,85,90,75,90,85,95,90,90,90,90,75,85,85,85,90,90,85,85,85,90,80,80,90,85,85,90,85,85,90,90,75,90,85,95,85,85,85,85,85,85,95,75,90,80,80,90,70,75,95,80,75,80,85,85,85,95,80,85,85,90
35,85,85,95,100,95,90,100,85,100,85,85,65,90,95,95,90,65,80,90,95,100,90,90,100,95,85,90,75,85,100,85,90,80,85,80,85,65,90,85,85,100,95,90,95,90,80,90,85,85,80,85,90,80,75,80,85,85,90,90,80,80,85,80,75,85,85,85,85,85,80,90,90,80,80,90,85,85,75,85,85,75,80,85,85,75,85,80,80,100,75,80,85,80,75,85,75,85,75,85,75,85,75,80
69,75,80,80,85,80,75,85,100,85,70,70,60,75,80,80,75,55,75,75,80,85,80,80,85,80,70,75,65,70,85,80,75,65,70,65,100,50,75,70,70,85,80,75,80,80,65,75,75,70,65,70,75,65,60,70,70,70,75,75,70,65,70,65,65,70,70,75,75,70,65,75,75,70,70,75,75,70,70,70,70,60,65,70,70,75,70,75,65,85,60,70,70,65,75,70,70,70,65,70,60,70,70,65
69C,85,85,95,100,95,90,100,85,100,85,85,65,90,95,95,90,65,80,90,95,100,90,90,100,95,85,90,75,85,100,85,90,80,85,80,85,65,90,85,85,100,95,90,95,90,80,90,85,85,80,85,90,80,75,80,85,85,90,90,80,80,85,80,75,85,85,85,85,85,80,90,90,80,80,90,85,85,75,85,85,75,80,85,85,75,85,80,80,100,75,80,85,80,75,85,75,85,75,85,75,85,75,80
109,70,70,90,85,85,75,85,70,85,100,90,55,80,80,85,75,70,70,75,80,85,75,75,85,80,90,75,80,75,85,70,80,75,90,85,70,70,75,90,75,85,90,75,85,75,70,80,75,75,80,75,80,75,80,70,75,80,80,80,70,70,90,65,65,90,75,75,75,75,70,80,80,70,85,80,75,75,65,85,85,65,75,80,75,65,75,70,85,85,85,85,75,85,65,90,65,75,70,75,70,75,65,65
109C,70,70,80,85,80,75,85,70,85,90,100,50,80,80,85,85,80,65,75,80,85,75,75,85,80,90,85,80,70,85,70,75,65,90,80,70,70,75,90,75,85,80,85,85,75,70,80,75,75,70,75,80,75,90,70,85,80,80,80,70,70,90,75,65,90,75,75,75,75,80,80,80,70,85,80,75,75,65,85,75,75,70,75,75,65,75,70,85,85,80,85,75,75,65,90,65,85,65,75,70,75,65,75
118,55,70,65,65,65,60,65,60,65,55,50,100,60,65,60,60,45,75,60,65,65,60,60,65,65,55,60,45,60,65,60,65,55,55,55,60,35,60,55,55,65,65,60,60,65,60,55,50,55,55,55,55,50,45,50,50,50,55,55,50,50,55,50,50,55,55,50,50,55,50,60,55,50,50,55,50,55,60,55,55,45,55,55,55,45,55,60,55,65,65,50,55,50,45,55,65,50,50,55,45,50,60,50
124,80,85,85,90,85,90,90,75,90,80,80,60,100,95,90,85,70,80,85,90,90,85,80,90,95,85,90,80,85,90,85,90,80,85,85,75,65,85,85,85,90,85,85,85,90,75,80,75,85,80,80,80,85,80,75,75,80,80,80,75,75,90,80,70,85,80,75,75,80,75,85,80,80,80,80,75,85,75,90,75,75,75,75,85,65,80,70,85,90,75,80,85,75,65,85,75,75,75,85,75,75,75,80
138,85,90,90,95,90,95,95,80,95,80,80,65,95,100,90,90,70,85,90,95,95,90,85,95,100,85,95,80,90,95,90,95,85,85,85,80,65,90,85,85,95,90,90,90,95,80,85,80,90,85,85,85,85,80,80,80,80,85,85,80,80,90,85,75,85,85,80,80,85,80,90,85,85,80,85,80,90,80,90,80,80,80,80,90,70,85,75,85,95,75,80,90,75,70,85,80,80,80,90,75,80,80,85
157,80,80,90,95,90,85,95,80,95,85,85,60,90,90,100,85,65,75,85,90,95,85,85,95,90,85,85,75,80,95,80,85,75,85,80,80,65,85,85,90,95,90,85,90,85,75,85,80,80,75,80,85,85,75,75,80,85,85,85,75,75,85,75,70,85,80,80,80,80,75,85,85,75,80,85,80,80,70,85,80,70,75,80,80,70,80,75,80,95,75,80,80,80,70,85,70,80,70,80,80,80,70,75
168,85,80,85,90,85,85,90,75,90,75,85,60,85,90,85,100,70,75,85,90,90,90,80,90,90,80,95,70,80,90,80,85,75,85,75,75,65,85,80,80,90,85,95,85,85,75,80,75,80,75,85,80,75,80,80,85,75,80,80,80,75,80,85,70,85,85,75,75,85,90,85,80,75,80,80,75,80,70,80,75,80,75,75,80,65,85,70,75,90,75,80,80,70,65,85,70,85,70,80,70,75,70,85
173,55,65,60,65,60,65,65,55,65,70,80,45,70,70,65,70,100,60,60,65,65,60,60,65,70,75,75,70,60,65,65,65,55,75,70,55,60,60,75,60,65,60,70,65,70,60,60,55,65,60,60,60,65,80,55,65,60,60,60,55,55,80,65,55,75,60,55,55,60,65,65,60,60,70,60,55,65,60,75,55,65,55,55,65,50,60,55,85,65,65,70,65,55,45,75,60,65,55,65,55,55,60,65
